category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topscorers,390,Tiquinho Soares,120,Botafogo,624,2023,32,2391,17,4,60
topscorers,13523,G. Cano,124,Fluminense,624,2023,13,1142,16,,
topscorers,350153,Lelê,7814,Volta Redonda,624,2023,13,1149,13,,
topscorers,10321,Pedro,127,Flamengo,624,2023,9,756,9,,
topscorers,44348,Eduardo,120,Botafogo,624,2023,33,2596,6,6,33
topscorers,9370,Pablo Thomaz,13107,Audax Rio,624,2023,15,933,6,,
topscorers,143367,Gabriel Pec,133,Vasco DA Gama,624,2023,11,880,6,,
topscorers,9329,Pedro Raul,133,Vasco DA Gama,624,2023,11,924,6,,
topscorers,10174,Gabriel Barbosa,127,Flamengo,624,2023,11,771,5,,
topscorers,294905,Pedrinho,7814,Volta Redonda,624,2023,12,733,4,,
topscorers,238379,Luís Felipe,7854,Bangu,624,2023,11,900,4,,
topscorers,106573,Emerson Carioca,7835,Portuguesa RJ,624,2023,12,822,3,,
topscorers,9288,Higor Leite,13107,Audax Rio,624,2023,12,971,3,,
topscorers,12797,Alex Teixeira,133,Vasco DA Gama,624,2023,11,721,3,,
topscorers,1771,Ayrton Lucas,127,Flamengo,624,2023,10,703,3,,
topscorers,265607,Ewerton,7782,Nova Iguaçu,624,2023,9,609,3,,
topscorers,10089,Fabrício Bruno,127,Flamengo,624,2023,9,680,3,,
topscorers,9958,Tchê Tchê,120,Botafogo,624,2023,35,2579,2,4,25
topscorers,41311,Gustavo Sauer,120,Botafogo,624,2023,19,265,2,1,2
topscorers,22167,Danilo Barbosa,120,Botafogo,624,2023,29,1004,2,,9
