category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topassists,51214,J. Savarino,120,Botafogo,624,2024,28,2013,8,7,44
topassists,10311,PH Ganso,124,Fluminense,624,2024,33,2273,3,7,16
topassists,2612,G. de Arrascaeta,127,Flamengo,624,2024,17,1008,5,5,21
topassists,22238,Luiz Araújo,127,Flamengo,624,2024,25,1564,4,5,34
topassists,10234,Lucas Piton,133,Vasco DA Gama,624,2024,34,2708,1,5,8
topassists,9218,Marlon Freitas,120,Botafogo,624,2024,35,2434,,5,20
topassists,13708,J. Arias,124,Fluminense,624,2024,27,2377,7,3,48
topassists,265785,Luiz Henrique,120,Botafogo,624,2024,36,2555,7,3,46
topassists,390,Tiquinho Soares,120,Botafogo,624,2024,29,1368,5,3,27
topassists,1912,D. Payet,133,Vasco DA Gama,624,2024,24,1236,3,3,14
topassists,5995,N. de la Cruz,127,Flamengo,624,2024,16,1012,2,3,15
topassists,2560,E. Pulgar,127,Flamengo,624,2024,24,1753,,3,7
topassists,5804,P. Vegetti,133,Vasco DA Gama,624,2024,35,2990,12,2,86
topassists,2414,Everton,127,Flamengo,624,2024,10,544,1,2,17
topassists,6057,P. Galdames,133,Vasco DA Gama,624,2024,26,1159,,2,5
topassists,10180,Bruno Henrique,127,Flamengo,624,2024,28,1987,6,1,39
topassists,50532,Lima,124,Fluminense,624,2024,31,1847,4,1,26
topassists,22167,Danilo Barbosa,120,Botafogo,624,2024,37,1153,3,1,10
topassists,306261,Adson,133,Vasco DA Gama,624,2024,21,1245,2,1,21
topassists,44348,Eduardo,120,Botafogo,624,2024,19,823,2,1,10
