category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topscorers,454454,Max,13115,Sampaio Corrêa RJ,624,2025,15,1350,6,2,17
topscorers,159644,Renato Henrique,7780,Madureira,624,2025,13,880,5,0,23
topscorers,77792,Elias Constantino Pereira Filho,13115,Sampaio Corrêa RJ,624,2025,15,1041,5,0,4
topscorers,47922,Zé Santos,2206,Boavista SC,624,2025,10,848,4,1,15
topscorers,405160,Wallace,127,Flamengo,624,2025,5,205,4,1,7
topscorers,13523,G. Cano,124,Fluminense,624,2025,8,537,4,0,13
topscorers,5804,P. Vegetti,133,Vasco DA Gama,624,2025,6,540,4,0,9
topscorers,160139,Walber,14000,CFRJ / Maricá,624,2025,11,730,4,0,7
topscorers,22238,Luiz Araújo,127,Flamengo,624,2025,8,475,3,2,9
topscorers,159843,Bruno Santos,7814,Volta Redonda,624,2025,12,979,3,1,7
topscorers,51603,A. Canobbio,124,Fluminense,624,2025,8,516,3,0,9
topscorers,70297,Carlinhos,127,Flamengo,624,2025,4,349,3,0,4
topscorers,10471,Lohan,7835,Portuguesa RJ,624,2025,7,609,3,0,13
topscorers,10040,Artur,120,Botafogo,624,2025,14,994,2,3,16
topscorers,16847,Keno,124,Fluminense,624,2025,6,308,2,1,6
topscorers,194945,Octávio,13115,Sampaio Corrêa RJ,624,2025,15,937,2,0,8
topscorers,107341,Rafael Pernão,13115,Sampaio Corrêa RJ,624,2025,13,725,2,0,6
topscorers,404733,Xandinho,7782,Nova Iguaçu,624,2025,13,996,2,0,4
topscorers,133910,Paulo Henrique,133,Vasco DA Gama,624,2025,10,752,2,0,2
topscorers,10322,Marcos Paulo,2206,Boavista SC,624,2025,8,539,2,0,6
