category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topscorers,5804,P. Vegetti,133,Vasco DA Gama,624,2024,35,2990,12,2,86
topscorers,10321,Pedro,127,Flamengo,624,2024,12,904,11,,
topscorers,51214,J. Savarino,120,Botafogo,624,2024,28,2013,8,7,44
topscorers,70297,Carlinhos,7782,Nova Iguaçu,624,2024,13,1125,8,,
topscorers,13708,J. Arias,124,Fluminense,624,2024,27,2377,7,3,48
topscorers,265785,Luiz Henrique,120,Botafogo,624,2024,36,2555,7,3,46
topscorers,10180,Bruno Henrique,127,Flamengo,624,2024,28,1987,6,1,39
topscorers,2612,G. de Arrascaeta,127,Flamengo,624,2024,17,1008,5,5,21
topscorers,10432,Júnior Santos,120,Botafogo,624,2024,12,691,5,,
topscorers,454454,Max,13115,Sampaio Corrêa RJ,624,2024,12,863,5,,
topscorers,390,Tiquinho Soares,120,Botafogo,624,2024,29,1368,5,3,27
topscorers,22238,Luiz Araújo,127,Flamengo,624,2024,25,1564,4,5,34
topscorers,50532,Lima,124,Fluminense,624,2024,31,1847,4,1,26
topscorers,13523,G. Cano,124,Fluminense,624,2024,30,1619,4,0,34
topscorers,306060,MV,7814,Volta Redonda,624,2024,10,887,4,,
topscorers,10311,PH Ganso,124,Fluminense,624,2024,33,2273,3,7,16
topscorers,22167,Danilo Barbosa,120,Botafogo,624,2024,37,1153,3,1,10
topscorers,297687,M. Ponte,120,Botafogo,624,2024,36,1143,3,0,10
topscorers,2283,David Luiz,127,Flamengo,624,2024,34,1675,3,0,13
topscorers,1845,Bartolomeu Jacinto Quissanga,120,Botafogo,624,2024,34,2630,3,0,15
