category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topassists,12705,Hulk,1062,Atletico-MG,629,2024,23,1826,10,5,48
topassists,25398,William,135,Cruzeiro,629,2024,34,2964,5,5,37
topassists,9926,Gustavo Scarpa,1062,Atletico-MG,629,2024,33,2157,4,5,45
topassists,6052,Á. Barreal,135,Cruzeiro,629,2024,30,1495,2,4,26
topassists,143365,Fabinho,125,America Mineiro,629,2024,31,1784,8,3,35
topassists,9842,Juninho,125,America Mineiro,629,2024,34,2938,4,3,29
topassists,352869,Adyson,125,America Mineiro,629,2024,33,1383,1,3,27
topassists,9967,Igor Gomes,1062,Atletico-MG,629,2024,35,1326,1,3,10
topassists,305980,Douglas Pelé,13975,Athletic Club,629,2024,19,1271,1,3,10
topassists,35534,E. Vargas,1062,Atletico-MG,629,2024,23,872,8,2,26
topassists,360303,Renato Marques,125,America Mineiro,629,2024,30,1149,4,2,29
topassists,352376,Rodriguinho,125,America Mineiro,629,2024,25,1081,4,2,17
topassists,10061,Yuri,13975,Athletic Club,629,2024,16,690,,2,5
topassists,9259,Alê,125,America Mineiro,629,2024,32,2595,3,1,26
topassists,10006,Arthur Gomes,135,Cruzeiro,629,2024,21,1276,2,1,20
topassists,10387,Edenílson,1062,Atletico-MG,629,2024,33,1340,1,1,12
topassists,10241,Mateus Vital,135,Cruzeiro,629,2024,31,544,1,1,9
topassists,9316,Nicolas,125,America Mineiro,629,2024,30,880,1,1,10
topassists,2038,Guilherme Arana,1062,Atletico-MG,629,2024,20,1300,1,1,19
topassists,294593,Rubens,1062,Atletico-MG,629,2024,19,1111,1,1,16
