category,player_id,player_name,team_id,team_name,league_id,season,appearences,minutes,goals,assists,shots_total
topassists,10040,Artur,120,Botafogo,624,2025,14,994,2,3,16
topassists,13708,J. Arias,124,Fluminense,624,2025,6,530,1,3,8
topassists,454555,Guilherme,127,Flamengo,624,2025,5,255,1,3,3
topassists,306279,Vitor Ricardo,2206,Boavista SC,624,2025,8,603,0,3,1
topassists,454454,Max,13115,Sampaio Corrêa RJ,624,2025,15,1350,6,2,17
topassists,22238,Luiz Araújo,127,Flamengo,624,2025,8,475,3,2,9
topassists,64332,Luan,13115,Sampaio Corrêa RJ,624,2025,15,858,1,2,5
topassists,415629,Rafael Genuino,120,Botafogo,624,2025,10,601,0,2,2
topassists,294907,Caetano,2206,Boavista SC,624,2025,8,518,0,2,5
topassists,13572,G. Fuentes,124,Fluminense,624,2025,6,478,0,2,2
topassists,47922,Zé Santos,2206,Boavista SC,624,2025,10,848,4,1,15
topassists,405160,Wallace,127,Flamengo,624,2025,5,205,4,1,7
topassists,159843,Bruno Santos,7814,Volta Redonda,624,2025,12,979,3,1,7
topassists,16847,Keno,124,Fluminense,624,2025,6,308,2,1,6
topassists,2612,G. de Arrascaeta,127,Flamengo,624,2025,8,598,2,1,14
topassists,63989,Marcelo,7780,Madureira,624,2025,7,561,2,1,16
topassists,54095,Anderson Rosa,7835,Portuguesa RJ,624,2025,10,679,1,1,7
topassists,41913,Sanchez,7814,Volta Redonda,624,2025,10,741,1,1,3
topassists,349001,Wesley,127,Flamengo,624,2025,8,690,1,1,4
topassists,96353,Paulinho,133,Vasco DA Gama,624,2025,6,313,1,1,1
