fixture_id,date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,fulltime_home,fulltime_away
1012161,2023-03-18T19:30:00+00:00,629,Mineiro - 1,2023,1062,Atletico-MG,13975,Athletic Club,1,0
1012163,2023-03-18T21:00:00+00:00,629,Mineiro - 1,2023,2227,Tombense,13084,Pouso Alegre,0,0
1012190,2023-03-18T21:00:00+00:00,629,Mineiro - 1,2023,13081,Democrata SL,7769,Caldense,1,0
1012165,2023-03-19T19:00:00+00:00,629,Mineiro - 1,2023,7869,Villa Nova,13080,Democrata GV,2,0
1012160,2023-03-19T21:00:00+00:00,629,Mineiro - 1,2023,125,America Mineiro,135,Cruzeiro,2,1
1012191,2023-03-22T23:00:00+00:00,629,Mineiro - 1,2023,7769,Caldense,7824,CAP,1,1
1012192,2023-03-26T13:00:00+00:00,629,Mineiro - 1,2023,7824,CAP,7769,Caldense,1,0
1017060,2023-03-26T19:00:00+00:00,629,Mineiro - 1,2023,7869,Villa Nova,2227,Tombense,1,2
1017058,2023-04-01T19:30:00+00:00,629,Mineiro - 1,2023,125,America Mineiro,1062,Atletico-MG,2,3
1017061,2023-04-01T21:00:00+00:00,629,Mineiro - 1,2023,2227,Tombense,7869,Villa Nova,3,2
1012193,2023-04-02T19:00:00+00:00,629,Mineiro - 1,2023,7769,Caldense,13081,Democrata SL,2,0
1017059,2023-04-09T19:30:00+00:00,629,Mineiro - 1,2023,1062,Atletico-MG,125,America Mineiro,2,0
