fixture_id,date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,fulltime_home,fulltime_away
1181755,2024-03-25T22:30:00+00:00,629,Mineiro - 1,2024,12277,Ipatinga,7824,CAP,,
1181756,2024-03-30T19:30:00+00:00,629,Mineiro - 1,2024,7824,CAP,13080,Democrata GV,,
1147714,2024-01-24T22:00:00+00:00,629,Mineiro - 1,2024,2227,Tombense,1196,Uberlandia,2,2
1147710,2024-01-24T22:00:00+00:00,629,Mineiro - 1,2024,7869,Villa Nova,135,Cruzeiro,1,2
1147713,2024-01-24T23:00:00+00:00,629,Mineiro - 1,2024,13975,Athletic Club,12277,Ipatinga,2,1
1147712,2024-01-24T23:30:00+00:00,629,Mineiro - 1,2024,13080,Democrata GV,21165,Itabirito,1,3
1147711,2024-01-25T00:30:00+00:00,629,Mineiro - 1,2024,7824,CAP,1062,Atletico-MG,2,1
1147709,2024-01-25T22:00:00+00:00,629,Mineiro - 1,2024,125,America Mineiro,13084,Pouso Alegre,6,0
1147716,2024-01-27T19:30:00+00:00,629,Mineiro - 1,2024,135,Cruzeiro,13975,Athletic Club,1,1
1147719,2024-01-28T14:00:00+00:00,629,Mineiro - 1,2024,21165,Itabirito,7869,Villa Nova,0,2
1147717,2024-01-28T19:00:00+00:00,629,Mineiro - 1,2024,1062,Atletico-MG,13080,Democrata GV,4,0
1147718,2024-01-28T20:00:00+00:00,629,Mineiro - 1,2024,13084,Pouso Alegre,2227,Tombense,1,2
1147715,2024-01-28T23:00:00+00:00,629,Mineiro - 1,2024,12277,Ipatinga,125,America Mineiro,1,6
1147720,2024-01-29T23:00:00+00:00,629,Mineiro - 1,2024,1196,Uberlandia,7824,CAP,1,1
1147724,2024-02-03T18:30:00+00:00,629,Mineiro - 1,2024,12277,Ipatinga,13084,Pouso Alegre,1,0
1147721,2024-02-03T19:30:00+00:00,629,Mineiro - 1,2024,21165,Itabirito,125,America Mineiro,0,0
1147723,2024-02-03T20:00:00+00:00,629,Mineiro - 1,2024,1196,Uberlandia,13080,Democrata GV,0,1
1147726,2024-02-03T22:00:00+00:00,629,Mineiro - 1,2024,2227,Tombense,13975,Athletic Club,1,0
1147722,2024-02-03T22:30:00+00:00,629,Mineiro - 1,2024,1062,Atletico-MG,135,Cruzeiro,0,2
1147725,2024-02-04T14:00:00+00:00,629,Mineiro - 1,2024,7824,CAP,7869,Villa Nova,0,1
1147727,2024-02-07T22:00:00+00:00,629,Mineiro - 1,2024,125,America Mineiro,1196,Uberlandia,2,0
1147730,2024-02-07T23:30:00+00:00,629,Mineiro - 1,2024,13080,Democrata GV,2227,Tombense,2,2
1147731,2024-02-08T22:30:00+00:00,629,Mineiro - 1,2024,13084,Pouso Alegre,21165,Itabirito,2,0
1147732,2024-02-08T23:00:00+00:00,629,Mineiro - 1,2024,7869,Villa Nova,12277,Ipatinga,3,3
1147729,2024-02-09T00:00:00+00:00,629,Mineiro - 1,2024,13975,Athletic Club,1062,Atletico-MG,0,2
1147728,2024-02-09T19:30:00+00:00,629,Mineiro - 1,2024,135,Cruzeiro,7824,CAP,3,0
1147735,2024-02-14T22:30:00+00:00,629,Mineiro - 1,2024,13084,Pouso Alegre,13080,Democrata GV,1,0
1147734,2024-02-14T23:00:00+00:00,629,Mineiro - 1,2024,1062,Atletico-MG,2227,Tombense,1,1
1147736,2024-02-14T23:00:00+00:00,629,Mineiro - 1,2024,1196,Uberlandia,21165,Itabirito,1,2
1147738,2024-02-14T23:00:00+00:00,629,Mineiro - 1,2024,7824,CAP,12277,Ipatinga,2,1
1147737,2024-02-14T23:30:00+00:00,629,Mineiro - 1,2024,7869,Villa Nova,13975,Athletic Club,1,4
1147733,2024-02-15T23:00:00+00:00,629,Mineiro - 1,2024,135,Cruzeiro,125,America Mineiro,0,2
1147742,2024-02-17T19:00:00+00:00,629,Mineiro - 1,2024,13975,Athletic Club,13084,Pouso Alegre,4,1
1147741,2024-02-17T19:30:00+00:00,629,Mineiro - 1,2024,21165,Itabirito,1062,Atletico-MG,0,2
