fixture_id,date,league_id,league_name,season,home_team_id,home_team_name,away_team_id,away_team_name,fulltime_home,fulltime_away
1320714,2025-01-18T20:00:00+00:00,629,Mineiro - 1,2025,13084,Pouso Alegre,13975,Athletic Club,0,1
1320717,2025-01-18T22:00:00+00:00,629,Mineiro - 1,2025,21165,Itabirito,13086,Betim,0,1
1320716,2025-01-19T13:00:00+00:00,629,Mineiro - 1,2025,13080,Democrata GV,7869,Villa Nova,0,1
1320718,2025-01-19T14:00:00+00:00,629,Mineiro - 1,2025,16751,Aymorés,1062,Atletico-MG,0,0
1320719,2025-01-19T23:00:00+00:00,629,Mineiro - 1,2025,135,Cruzeiro,2227,Tombense,1,0
1320715,2025-01-20T00:00:00+00:00,629,Mineiro - 1,2025,1196,Uberlandia,125,America Mineiro,2,2
1320722,2025-01-22T22:00:00+00:00,629,Mineiro - 1,2025,1062,Atletico-MG,13080,Democrata GV,1,1
1320720,2025-01-22T22:00:00+00:00,629,Mineiro - 1,2025,2227,Tombense,21165,Itabirito,1,0
1320725,2025-01-22T22:00:00+00:00,629,Mineiro - 1,2025,13086,Betim,16751,Aymorés,2,0
1320721,2025-01-22T22:00:00+00:00,629,Mineiro - 1,2025,13975,Athletic Club,135,Cruzeiro,1,0
1320724,2025-01-22T23:00:00+00:00,629,Mineiro - 1,2025,7869,Villa Nova,1196,Uberlandia,0,1
1320723,2025-01-23T21:30:00+00:00,629,Mineiro - 1,2025,125,America Mineiro,13084,Pouso Alegre,7,0
1320729,2025-01-25T19:30:00+00:00,629,Mineiro - 1,2025,135,Cruzeiro,13086,Betim,1,1
1320728,2025-01-26T13:00:00+00:00,629,Mineiro - 1,2025,1196,Uberlandia,21165,Itabirito,1,1
1320727,2025-01-26T18:00:00+00:00,629,Mineiro - 1,2025,13080,Democrata GV,2227,Tombense,0,1
1320726,2025-01-26T19:00:00+00:00,629,Mineiro - 1,2025,13084,Pouso Alegre,1062,Atletico-MG,0,0
1320730,2025-01-26T19:00:00+00:00,629,Mineiro - 1,2025,16751,Aymorés,13975,Athletic Club,2,0
1320731,2025-01-26T21:30:00+00:00,629,Mineiro - 1,2025,125,America Mineiro,7869,Villa Nova,2,0
1320732,2025-01-29T22:00:00+00:00,629,Mineiro - 1,2025,2227,Tombense,13084,Pouso Alegre,1,1
1320733,2025-01-29T22:30:00+00:00,629,Mineiro - 1,2025,16751,Aymorés,1196,Uberlandia,1,1
1320736,2025-01-29T23:00:00+00:00,629,Mineiro - 1,2025,13086,Betim,13080,Democrata GV,1,1
1320734,2025-01-29T23:00:00+00:00,629,Mineiro - 1,2025,13975,Athletic Club,7869,Villa Nova,6,1
1320735,2025-01-30T01:00:00+00:00,629,Mineiro - 1,2025,1062,Atletico-MG,125,America Mineiro,1,1
1320737,2025-01-30T22:00:00+00:00,629,Mineiro - 1,2025,21165,Itabirito,135,Cruzeiro,1,4
1320743,2025-02-01T19:30:00+00:00,629,Mineiro - 1,2025,7869,Villa Nova,1062,Atletico-MG,0,1
1320739,2025-02-01T20:00:00+00:00,629,Mineiro - 1,2025,13975,Athletic Club,2227,Tombense,3,1
1320738,2025-02-01T22:00:00+00:00,629,Mineiro - 1,2025,13086,Betim,125,America Mineiro,0,1
1320740,2025-02-02T18:00:00+00:00,629,Mineiro - 1,2025,13080,Democrata GV,13084,Pouso Alegre,2,4
1320741,2025-02-02T19:00:00+00:00,629,Mineiro - 1,2025,21165,Itabirito,16751,Aymorés,0,0
1320742,2025-02-02T21:30:00+00:00,629,Mineiro - 1,2025,135,Cruzeiro,1196,Uberlandia,3,1
1320749,2025-02-05T00:30:00+00:00,629,Mineiro - 1,2025,1062,Atletico-MG,13975,Athletic Club,1,0
1320744,2025-02-05T22:00:00+00:00,629,Mineiro - 1,2025,2227,Tombense,16751,Aymorés,1,0
1320748,2025-02-05T23:00:00+00:00,629,Mineiro - 1,2025,7869,Villa Nova,21165,Itabirito,1,4
1320745,2025-02-05T23:00:00+00:00,629,Mineiro - 1,2025,13084,Pouso Alegre,13086,Betim,0,2
1320747,2025-02-06T01:00:00+00:00,629,Mineiro - 1,2025,125,America Mineiro,135,Cruzeiro,1,1
1320746,2025-02-06T23:00:00+00:00,629,Mineiro - 1,2025,1196,Uberlandia,13080,Democrata GV,0,1
1320750,2025-02-08T19:00:00+00:00,629,Mineiro - 1,2025,13086,Betim,7869,Villa Nova,1,1
1320751,2025-02-08T19:30:00+00:00,629,Mineiro - 1,2025,2227,Tombense,125,America Mineiro,1,0
1320752,2025-02-08T22:00:00+00:00,629,Mineiro - 1,2025,21165,Itabirito,13084,Pouso Alegre,1,0
1320754,2025-02-09T19:00:00+00:00,629,Mineiro - 1,2025,135,Cruzeiro,1062,Atletico-MG,0,2
1320753,2025-02-09T19:00:00+00:00,629,Mineiro - 1,2025,1196,Uberlandia,13975,Athletic Club,3,0
1320755,2025-02-09T19:00:00+00:00,629,Mineiro - 1,2025,16751,Aymorés,13080,Democrata GV,0,1
1320758,2025-02-12T22:45:00+00:00,629,Mineiro - 1,2025,125,America Mineiro,16751,Aymorés,0,0
1320759,2025-02-12T22:45:00+00:00,629,Mineiro - 1,2025,1062,Atletico-MG,21165,Itabirito,3,0
1320756,2025-02-12T22:45:00+00:00,629,Mineiro - 1,2025,7869,Villa Nova,2227,Tombense,0,2
1320757,2025-02-12T22:45:00+00:00,629,Mineiro - 1,2025,13080,Democrata GV,135,Cruzeiro,2,1
1320760,2025-02-12T22:45:00+00:00,629,Mineiro - 1,2025,13084,Pouso Alegre,1196,Uberlandia,2,1
1320761,2025-02-12T22:45:00+00:00,629,Mineiro - 1,2025,13975,Athletic Club,13086,Betim,1,4
1350663,2025-02-15T19:30:00+00:00,629,Mineiro - 1,2025,1062,Atletico-MG,2227,Tombense,2,0
1351511,2025-02-16T13:00:00+00:00,629,Mineiro - 1,2025,13080,Democrata GV,13975,Athletic Club,0,0
1350665,2025-02-16T19:00:00+00:00,629,Mineiro - 1,2025,135,Cruzeiro,125,America Mineiro,1,1
1351513,2025-02-16T19:00:00+00:00,629,Mineiro - 1,2025,1196,Uberlandia,13086,Betim,0,0
1351512,2025-02-21T22:30:00+00:00,629,Mineiro - 1,2025,13975,Athletic Club,13080,Democrata GV,1,0
1350666,2025-02-22T19:30:00+00:00,629,Mineiro - 1,2025,125,America Mineiro,135,Cruzeiro,1,1
1350664,2025-02-22T22:00:00+00:00,629,Mineiro - 1,2025,2227,Tombense,1062,Atletico-MG,0,2
1351514,2025-02-22T22:00:00+00:00,629,Mineiro - 1,2025,13086,Betim,1196,Uberlandia,1,1
1354203,2025-03-08T19:30:00+00:00,629,Mineiro - 1,2025,1062,Atletico-MG,125,America Mineiro,4,0
1355055,2025-03-08T22:30:00+00:00,629,Mineiro - 1,2025,1196,Uberlandia,13975,Athletic Club,0,2
1354204,2025-03-15T19:30:00+00:00,629,Mineiro - 1,2025,125,America Mineiro,1062,Atletico-MG,1,0
1355056,2025-03-15T23:00:00+00:00,629,Mineiro - 1,2025,13975,Athletic Club,1196,Uberlandia,3,2
